Author,Title,Number,Area_Topic,Denomination,Language,Type,Hierarchy,Category,Definition,Language2
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,1,Posicions corporals,,,,,,Moviment pel qual un membre o un ?rgan qualsevol s'allunya del pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,1,,abducci?,ca,principal,terme pral.,n f,Moviment pel qual un membre o un ?rgan qualsevol s'allunya del pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,1,,abducci?n,es,equivalent,terme pral.,n f,Moviment pel qual un membre o un ?rgan qualsevol s'allunya del pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,1,,abduction,en,equivalent,terme pral.,,Moviment pel qual un membre o un ?rgan qualsevol s'allunya del pla medià del cos.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,2,Semiologia > S?mptomes,,,,,,"Pèrdua de l'aptitud per als càlculs numèrics, associada sovint a trastorns afàsics.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,2,,acalc?lia,ca,principal,terme pral.,n f,"Pèrdua de l'aptitud per als càlculs numèrics, associada sovint a trastorns afàsics.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,2,,acalculia,es,equivalent,terme pral.,n f,"Pèrdua de l'aptitud per als càlculs numèrics, associada sovint a trastorns afàsics.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,2,,acalculia,en,equivalent,terme pral.,,"Pèrdua de l'aptitud per als càlculs numèrics, associada sovint a trastorns afàsics.",ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,Patologia,,,,,,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,apoplexia,ca,principal,terme pral.,n f,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,accident vascular cerebral,ca,remissio,sin. compl.,n m,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,feridura,ca,remissio,sin. compl.,n f,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,accidente cerebral vascular,es,equivalent,terme pral.,n m,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,accidente cerebrovascular,es,equivalent,terme pral.,n m,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
"TERMCAT, Centre de Terminologia",Diccionari de fisioteràpia,3,,accidente vascular cerebral,es,equivalent,terme pral.,n m,Entitat patol?gica d'origen no traumàtic produïda per hemorràgia o per isquèmia al sistema nervi?s central.,ca
